Unnamed: 0,mat_id,composition,volume,density_atomic,density,nsites,crys_sys,spc_grp,A_lat,B_lat,C_lat,alpha,beta,gamma,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,total_magnetization,total_magnetization_normalized_vol,num_magnetic_sites,num_unique_magnetic_sites,min_bond,max_bond,mean_bond,varience_bond,valence_density,electron_density,gilman_density,outer_density,reduced_valence_density,reduced_electron_density,reduced_gilman_density,reduced_outer_density,avg_ Atomic_Number,avg_ Atomic_Weight,avg_Period,avg_group,avg_families,avg_Mendeleev Number,avg_Atomic Radus,avg_ Covalent_Radius,avg_Zunger radii sum,avg_ionic radius,avg_crystal radius,avg_ Pauling_Electronegativity,avg_MB electonegativity,avg_Gordy electonegativity,avg_Mullinke EN,avg_Allred-Rockow electronegativity,avg_metallic valence,avg_number of valence electrons,avg_gilmor number of valence electron,avg_valence s,avg_valence p,avg_valence d,avg_outer shell electrons,avg_1st ionization potential (kJ/mol),avg_polarizability(A^3),avg_Melting point (K),avg_Boiling Point (K),avg_Density (g/mL),avg_specific heat (J/g K) ,avg_heat of fusion (kJ/mol) ,avg_heat of vaporization (kJ/mol) ,avg_thermal conductivity (W/(m K)) ,avg_heat atomization (kJ/mol),avg_Cohesive energy,avg_electron affinity (kJ/mol),diff_ Atomic_Number,diff_ Atomic_Weight,diff_Period,diff_group,diff_families,diff_Mendeleev Number,diff_Atomic Radus,diff_ Covalent_Radius,diff_Zunger radii sum,diff_ionic radius,diff_crystal radius,diff_ Pauling_Electronegativity,diff_MB electonegativity,diff_Gordy electonegativity,diff_Mullinke EN,diff_Allred-Rockow electronegativity,diff_metallic valence,diff_number of valence electrons,diff_gilmor number of valence electron,diff_valence s,diff_valence p,diff_valence d,diff_outer shell electrons,diff_1st ionization potential (kJ/mol),diff_polarizability(A^3),diff_Melting point (K),diff_Boiling Point (K),diff_Density (g/mL),diff_specific heat (J/g K) ,diff_heat of fusion (kJ/mol) ,diff_heat of vaporization (kJ/mol) ,diff_thermal conductivity (W/(m K)) ,diff_heat atomization (kJ/mol),diff_Cohesive energy,diff_electron affinity (kJ/mol),max_ Atomic_Number,max_ Atomic_Weight,max_Period,max_group,max_families,max_Mendeleev Number,max_Atomic Radus,max_ Covalent_Radius,max_Zunger radii sum,max_ionic radius,max_crystal radius,max_ Pauling_Electronegativity,max_MB electonegativity,max_Gordy electonegativity,max_Mullinke EN,max_Allred-Rockow electronegativity,max_metallic valence,max_number of valence electrons,max_gilmor number of valence electron,max_valence s,max_valence p,max_valence d,max_outer shell electrons,max_1st ionization potential (kJ/mol),max_polarizability(A^3),max_Melting point (K),max_Boiling Point (K),max_Density (g/mL),max_specific heat (J/g K) ,max_heat of fusion (kJ/mol) ,max_heat of vaporization (kJ/mol) ,max_thermal conductivity (W/(m K)) ,max_heat atomization (kJ/mol),max_Cohesive energy,max_electron affinity (kJ/mol),min_ Atomic_Number,min_ Atomic_Weight,min_Period,min_group,min_families,min_Mendeleev Number,min_Atomic Radus,min_ Covalent_Radius,min_Zunger radii sum,min_ionic radius,min_crystal radius,min_ Pauling_Electronegativity,min_MB electonegativity,min_Gordy electonegativity,min_Mullinke EN,min_Allred-Rockow electronegativity,min_metallic valence,min_number of valence electrons,min_gilmor number of valence electron,min_valence s,min_valence p,min_valence d,min_outer shell electrons,min_1st ionization potential (kJ/mol),min_polarizability(A^3),min_Melting point (K),min_Boiling Point (K),min_Density (g/mL),min_specific heat (J/g K) ,min_heat of fusion (kJ/mol) ,min_heat of vaporization (kJ/mol) ,min_thermal conductivity (W/(m K)) ,min_heat atomization (kJ/mol),min_Cohesive energy,min_electron affinity (kJ/mol),poisson_ratio
4,mp-867882,Sm1 Cd1 Au2,86.4048965659494,21.6012241414873,12.6206143365331,4,7,225,4.96231639033637,4.96231639033637,4.96231639033637,60,60,60,-3.7025377225,-0.65522774875,0,0,3.3E-06,3.8192279965074E-08,0,0,3.03878577464345,3.03878577464345,3.03878577464345,1.50259220042098E-31,0.810139271986418,3.10167606989086,0.347202545137036,0.069440509027407,1.38662029702805,5.30877485147884,0.594265841583452,0.11885316831669,67,164.17602,5.75,9.25,3.75,56.25,1.525,1.445,2.91875,1.525,1.26,1.985,1.245,6.1931,4.7425,1.6125,4.53,9.25,2,1.5,0,7.5,1.5,798.25,12.05,1153.875,2452.9,13.6925,0.1715,9.9805,233.6925,186.025,262.75,2.73,97.781,31,84.55554,1,9,1,47,0.5,0.28,1.925,0.5,0.59,1.37,0.21,4.0604,2.67,0.83,2.64,9,2,1,0,10,1,345,22.7,753.1,2315,11.78,0.102,6.358,234.83,303.7,254,2.65,292.747,79,196.96654,6,12,4,70,1.85,1.62,4.14,1.85,1.51,2.54,1.4,7.9791,5.77,1.92,5.44,12,3,2,0,10,2,890,28.8,1347.15,3353.15,19.3,0.23,12.55,334.4,317,366,3.81,222.747,48,112.411,5,3,3,23,1.35,1.34,2.215,1.35,0.92,1.17,1.19,3.9187,3.1,1.09,2.8,3,1,1,0,0,1,545,6.1,594.05,1038.15,7.52,0.128,6.192,99.57,13.3,112,1.16,-70,0.49
47,mp-973940,Li1 Cd3,78.3800927972358,19.595023199309,7.2915756069141,4,7,225,4.80367470709334,4.80367470709334,4.80367470709334,60,60,60,-1.3337275525,-0.164329515833333,0,0,3E-07,3.82750248556199E-09,0,0,2.94163798067303,3.39671096,3.06574879321675,0.041548121181397,0.472058639885979,1.87547621792538,0.3827502485562,0.08930839132978,1.26858727093618,5.040062941287,1.02858427373204,0.240002997204143,36.75,86.0435,4.25,9.25,3.25,52.75,1.525,1.5175,2.06375,1.525,0.915,1.5125,1.275,3.7446,4,1.368,3.58,9.25,1,1.75,0,7.5,1.75,781,11.475,558.95,1182.4,6.62325,1.0725,5.394,111.1575,93.775,124.25,1.2775,-37.59185,45,105.47,3,11,3,69,0.1,0.15,0.605,0.1,0.02,0.71,0.5,0.6964,1.32,0.608,3.44,11,0,1,0,10,1,348,17.1,140.4,577,8.107,3.37,3.192,46.35,12.1,49,0.47,129.6326,48,112.411,5,12,4,70,1.55,1.63,2.215,1.55,0.92,1.69,1.4,3.9187,4.33,1.52,4.44,12,1,2,0,10,2,868,24.3,594.05,1615.15,8.65,3.6,6.192,145.92,96.8,161,1.63,59.6326,3,6.941,2,1,1,1,1.45,1.48,1.61,1.45,0.9,0.98,0.9,3.2223,3.01,0.912,1,1,1,1,0,0,1,520,7.2,453.65,1038.15,0.543,0.23,3,99.57,84.7,112,1.16,-70,0.37
95,mp-862872,Pm1 Ag1 Au2,85.1423128734598,21.2855782183649,12.6146313604895,4,7,225,4.93802722997621,4.93802722997621,4.93802722997621,60,60,60,-4.1148013175,-0.582085736041667,0,0,9.8E-06,1.15101406918144E-07,0,0,3.02391176235269,3.02391176235269,3.02391176235269,5.00864066806992E-32,0.798662823513651,3.12418104492104,0.352351245667787,0.058725207611298,1.34764144224191,5.27165622994628,0.594547695106723,0.099091282517787,66.5,161.678495,5.75,9,3.75,54.5,1.5375,1.4125,2.92125,1.5375,1.3975,2.04,1.15,6.15275,4.77,1.7,4.83,9,2.25,1.25,0,7.5,1.25,761.5,12.55,1306.15,3116.15,14.09,0.16775,11.07,283.345,270.225,329.25,2.6425,145.9515,32,89.09834,1,8,1,45,0.5,0.29,1.615,0.5,0.23,1.39,0.12,4.1269,2.67,0.83,2.44,8,1,1,0,10,1,355,24,102,868,12.04,0.107,4.67,120.4,411.1,82,3.81,210.297,79,196.96654,6,11,4,66,1.85,1.63,3.99,1.85,1.51,2.54,1.19,7.9791,5.77,1.92,5.44,11,3,2,0,10,2,890,30.1,1337.15,3353.15,19.3,0.235,12.55,334.4,429,366,3.81,222.747,47,107.8682,5,3,3,21,1.35,1.34,2.375,1.35,1.28,1.15,1.07,3.8522,3.1,1.09,3,3,2,1,0,0,1,535,6.1,1235.15,2485.15,7.26,0.128,7.88,214,17.9,284,0,12.45,0.46
137,mp-30651,Mg2 Ga4,110.224968621202,18.3708281035336,4.9338173754311,6,6,194,4.29098547,4.2909849243362,6.91250255,90,90,119.999996574557,-2.67679975833333,-0.124642393333333,0.004995789999999,0,0,0,0,0,2.57584129052693,3.2352950171737,2.9307519051607,0.066018452073703,0.508051857038392,1.34270847931575,0.362894183598851,0.07257883671977,1.89170628402471,4.99950946492246,1.35121877430337,0.270243754860673,24.6666666666667,54.5836666666667,3.66666666666667,9.33333333333333,4,72,1.36666666666667,1.29333333333333,1.80666666666667,1.36666666666667,0.793333333333333,1.64333333333333,1.57,3.76963333333333,3.38333333333333,1.60166666666667,2.96,2.66666666666667,2.66666666666667,2,0.666666666666667,0,2.66666666666667,632,8.93333333333333,509.35,2238.48333333333,4.51333333333333,0.586666666666667,6.71133333333333,214.933333333333,79.0666666666667,240,2.37666666666667,14,19,45.418,1,11,3,6,0.2,0.1,0.335,0.2,0.1,0.5,0.39,1.1927,0.55,0.463,1.44,1,1,0,1,0,1,159,2.5,619.2,1313,4.16,0.65,3.364,131.3,115.4,138,1.3,81,31,69.723,4,13,5,74,1.5,1.36,2.03,1.5,0.86,1.81,1.7,4.1672,3.75,1.756,3.44,3,3,2,1,0,3,738,10.6,922.15,2676.15,5.9,1.02,8.954,258.7,156,286,2.81,41,12,24.305,3,2,2,68,1.3,1.26,1.695,1.3,0.76,1.31,1.31,2.9745,3.2,1.293,2,2,2,2,0,0,2,579,8.1,302.95,1363.15,1.74,0.37,5.59,127.4,40.6,148,1.51,-40,0.41
146,mp-861881,Li1 Ge1 Au2,64.8511092171665,16.2127773042916,12.1245223748353,4,7,225,4.50966348342618,4.50966348342618,4.50966348342618,60,60,60,-3.590551255,-0.320622574583333,0,0,5E-07,7.70996835729753E-09,0,0,2.76159361151407,2.76159361151407,2.76159361151407,2.00345626722797E-31,1.00229588644868,2.97604778591685,0.462598101437852,0.077099683572975,1.34025898073537,3.97953820433734,0.618581068031711,0.103096844671952,48.25,118.37102,4.5,9.25,3.75,53,1.35,1.3825,2.1225,1.35,1.1125,2.0175,1.3175,5.955275,4.7875,1.6865,3.97,6.75,2.25,1.25,0.5,5,1.75,765.5,10.65,1087.125,2856.15,11.11575,1.044,16.26,286.405,194.65,317.5,3.275,156.01545,76,190.02554,4,13,5,78,0.2,0.41,1.1,0.2,0.98,1.56,1.09,4.7568,2.76,1.082,4.44,10,3,1,2,10,3,370,18.2,883.5,1738,18.757,3.472,33.94,188.48,257.1,216,2.22,163.1144,79,196.96654,6,14,6,79,1.45,1.63,2.66,1.45,1.51,2.54,1.99,7.9791,5.77,1.994,5.44,11,4,2,2,10,4,890,24.3,1337.15,3353.15,19.3,3.6,36.94,334.4,317,377,3.85,222.747,3,6.941,2,1,1,1,1.25,1.22,1.56,1.25,0.53,0.98,0.9,3.2223,3.01,0.912,1,1,1,1,0,0,1,520,6.1,453.65,1615.15,0.543,0.128,3,145.92,59.9,161,1.63,59.6326,0.44
161,mp-1038814,Mg1 Cd1,41.8938659284123,20.9469329642061,5.41898566766835,2,7,221,3.4730962,3.4730962,3.4730962,90,90,90,-1.346753345,-0.08516844,0.01376229,0,0,0,0,0,3.0077895389872,3.0077895389872,3.0077895389872,0,0.334177801206578,1.43219057659962,0.23869842943327,0.095479371773308,1.29175466208825,5.53609140894965,0.922681901491608,0.369072760596643,30,68.358,4,7,3,69,1.525,1.42,2.1225,1.525,0.89,1.5,1.355,3.4466,4.04,1.4065,3.22,7,1.5,2,0,5,2,803,8.9,758.1,1200.65,5.195,0.625,7.573,113.485,126.4,130,1.335,-55,36,88.106,2,10,2,2,0.05,0.12,0.185,0.05,0.06,0.38,0.09,0.9442,0.58,0.227,2.44,10,1,0,0,10,0,130,3.4,328.1,325,6.91,0.79,2.762,27.83,59.2,36,0.35,30,48,112.411,5,12,4,70,1.55,1.48,2.215,1.55,0.92,1.69,1.4,3.9187,4.33,1.52,4.44,12,2,2,0,10,2,868,10.6,922.15,1363.15,8.65,1.02,8.954,127.4,156,148,1.51,-40,12,24.305,3,2,2,68,1.5,1.36,2.03,1.5,0.86,1.31,1.31,2.9745,3.75,1.293,2,2,1,2,0,0,2,738,7.2,594.05,1038.15,1.74,0.23,6.192,99.57,96.8,112,1.16,-70,0.36
173,mp-762,Pt1 S2,61.0435790346471,20.3478596782157,7.05127353960269,3,5,164,3.54874234,3.54874203868774,5.59706654,90,90,120.000002808694,-5.46606582333333,-0.684721472083333,0,1.5467,0,0,0,0,2.39138566598394,2.39138566598395,2.39138566598394,7.88860905221012E-32,0.589742616165529,1.80199132717245,0.147435654041382,0.147435654041382,1.70182023610392,5.20000627698421,0.425455059025981,0.425455059025981,36.6666666666667,86.404,4,14,6,79.6666666666667,1.11666666666667,1.11333333333333,1.63333333333333,1.11666666666667,0.533333333333333,2.48,2.40333333333333,6.4708,6.01333333333333,2.29933333333333,3.26,7.33333333333333,5,1.66666666666667,2.66666666666667,3,4.33333333333333,956,4.1,939.016666666667,1845.28333333333,8.51333333333333,0.516666666666667,7.67833333333333,176.533333333333,24.046,374.333333333333,3.84666666666667,201.953733333333,62,163.014,3,6,3,25,0.35,0.28,1.6,0.35,0.31,0.3,0.74,1.875,0.62,0.869,3.78,4,3,1,4,9,5,132,3.6,1659.2,3382.3,19.33,0.58,17.8825,500.2,71.331,286,2.99,4.6309,78,195.08,6,16,7,88,1.35,1.3,2.7,1.35,0.74,2.58,2.65,7.7208,6.22,2.589,5.78,10,6,2,4,9,6,1000,6.5,2045.15,4100.15,21.4,0.71,19.6,510,71.6,565,5.84,205.041,16,32.066,3,10,4,63,1,1.02,1.1,1,0.43,2.28,1.91,5.8458,5.6,1.72,2,6,3,1,0,0,1,868,2.9,385.95,717.85,2.07,0.13,1.7175,9.8,0.269,279,2.85,200.4101,0.23
215,mp-865999,Yb1 Tl1 Pd2,75.4089766968932,18.8522441742233,12.9978593022151,4,7,225,4.74219434633785,4.74219434633785,4.74219434633785,60,60,60,-4.1922018325,-0.626698070833333,0,0,6.6E-06,8.75227365374382E-08,0,0,2.90398910240973,2.90398910240974,2.90398910240974,1.00172813361398E-31,0.83544430331191,3.22242802706022,0.397830620624719,0.305003475812284,1.2117379972959,4.67384656099847,0.577018093950428,0.442380538695328,60.75,147.565825,5.5,9,4,59.75,1.6125,1.4,2.68125,1.6125,0.93,1.78,1.7375,4.559675,3.8,1.51475,4.25,6.5,3,1,0.25,7.5,1.25,700,9.55,1330.65,2506.4,10.7175,0.19,11.7505,251.75,56.15,272.5,2.815,35.7375,35,97.9633,1,10,2,37,0.5,0.28,1.355,0.5,0.35,1.1,0.98,2.2129,1.35,0.699,3.78,7,0,2,1,10,3,215,16.2,1251,1944,5.03,0.11,13.458,228.1,36.9,226,2.29,56.17,81,204.3833,6,13,5,76,1.9,1.56,3.59,1.9,1.13,2.2,2.08,6.0009,4.45,1.789,5.78,10,3,2,1,10,3,804,21,1827.15,3413.15,12,0.24,17.6,357,71.8,378,3.89,54.24,46,106.42,5,3,3,39,1.4,1.28,2.235,1.4,0.78,1.1,1.1,3.788,3.1,1.09,2,3,3,0,0,0,0,589,4.8,576.15,1469.15,6.97,0.13,4.142,128.9,34.9,152,1.6,-1.93,0.43
223,mp-976220,Na1 Cd1 Hg2,92.0747679487942,23.0186919871986,9.67706299592569,4,7,225,5.06856721694269,5.06856721694269,5.06856721694269,60,60,60,-0.883947585,-0.170753639137931,0.0057683975,0,2.04E-05,2.21559070464833E-07,0,0,3.10385085212705,3.58401825,3.23480559700149,0.046256698177822,0.705948018637947,2.37850178587247,0.325822162448283,0.076025171237933,1.67922850216452,5.657708338062,0.775028539460548,0.180839992540794,54.75,134.145192,5,9.25,3.25,53.5,1.5875,1.5,2.42125,1.5875,0.935,1.655,1.3175,5.737575,4.25,1.47725,3.58,9.25,1,1.75,0,7.5,1.75,844.5,10.4,358.375,863.65,9.15525,0.4345,3.345,78.747,63.62,85.75,0.90325,-29.28325,69,177.600232,3,11,3,69,0.3,0.06,0.435,0.3,0.33,1.07,0.6,5.7091,2.06,0.891,3.44,11,0,1,0,10,1,511,18.2,359.8,526,12.529,1.091,3.897,40.341,132.66,51,0.49,122.867,80,200.59,6,12,4,71,1.8,1.54,2.65,1.8,1.16,2,1.49,8.2469,4.91,1.76,4.44,12,1,2,0,10,2,1007,23.6,594.05,1156.15,13.5,1.23,6.192,99.57,141,112,1.16,52.867,11,22.989768,3,1,1,2,1.5,1.48,2.215,1.5,0.83,0.93,0.89,2.5378,2.85,0.869,1,1,1,1,0,0,1,496,5.4,234.25,630.15,0.971,0.139,2.295,59.229,8.34,61,0.67,-70,0.42
224,mp-867250,Li1 Zn2 Pd1,55.0058876778031,13.7514719194508,7.37137033617845,4,7,225,4.26882212179445,4.26882212179445,4.26882212179445,60,60,60,-2.867722265,-0.465649290833333,0,0,3.1E-06,5.63576033561761E-08,0,0,2.61410900027535,3.01851307,2.72440101929117,0.032811064899783,0.636295521763279,1.98160605349135,0.545396161511382,0.272698080755691,1.18702488152783,3.69673463104382,1.01744989845243,0.508724949226214,27.25,61.03525,3.75,8.75,3.25,50.25,1.3875,1.3525,1.955,1.3875,0.79,1.62,1.465,3.628325,4.09,1.4205,3.915,8.75,1.5,1.25,0,7.5,1.25,784,10.475,916.575,1846.65,6.70075,1.155,8.811,183.38,97.125,200.25,2.055,-1.53185,43,99.479,3,11,3,68,0.1,0.38,0.84,0.1,0.16,1.22,1.18,0.5657,1.44,0.678,4.78,11,2,2,0,10,2,386,19.5,1373.5,2234,11.457,3.36,14.6,241.7,44.2,247,2.54,119.6326,46,106.42,5,12,4,69,1.45,1.63,2.45,1.45,0.9,2.2,2.08,3.788,4.45,1.59,5.78,12,3,2,0,10,2,906,24.3,1827.15,3413.15,12,3.6,17.6,357,116,378,3.89,59.6326,3,6.941,2,1,1,1,1.35,1.25,1.61,1.35,0.74,0.98,0.9,3.2223,3.01,0.912,1,1,1,0,0,0,0,520,4.8,453.65,1179.15,0.543,0.24,3,115.3,71.8,131,1.35,-60,0.39
